model,stage,positive_result,key_failure,final_status,next_action
SemlaFlow,COF transfer,"official GEOM 32/32 sanitize and connected; tier1 2/5 raw exact training-SMILES at one stage","tier1 raw valid only 5/20 across staged checkpoints; unstable bond/valence/aromaticity",FAIL_GATE2_SWITCH_TO_MIDI,"freeze as historical baseline"
MiDi,COF transfer,"GEOM-like 100 samples: sanitize 74/100; connected 94/100; collision 0/100","bounded-SNR validation improved 14/32 cases and 4/8 timesteps; below frozen 60%/75% coverage",FAIL_BOUNDED_SNR_DETERMINISTIC_GATE_STOP_BEFORE_SAMPLING,"freeze; no tier4/full/PG training"
UAE-3D,tier1,"atom/bond/chemistry exact; coordinate RMSD 0.048132 A","official schema excludes Sn and lacks charge/radical heads",PASS_U2_TIER1_ADVANCE_TO_TIER4,"used only as tier4 initialization"
UAE-3D,tier4-main,"step3072 atom 4/4; bond/sanitize/connected 2/4; RMSD max 0.142200 A","whole-molecule bond exact plateaued at 2/4",STOP_TIER4_BASE_BRANCH_START_BOND_REFINEMENT,"closed after controlled refinements"
UAE-3D,explicit-head-pilot,"atom 4/4; conditional type 0.95946; RMSD max 0.144109 A","none 0.61392; present recall 0.70946; 1464 wrong unique pairs; exact/sanitize/connected 0/4",FAIL_EXPLICIT_BOND_HEAD_PILOT_STOP_BRANCH,"closed; final read-only Gate A followed"
UAE-3D,Gate-A,"nonlinear transfer minimum balanced 0.67956; none 0.75932; present recall 0.88299","AUC 0.88977 below 0.90; macro 0.80934 below 0.82; nonlinear gain 0.00893 below 0.01; tier4 exact 0/4",FAIL_GATE_A_STOP_UAE_BRANCH,"no Gate B; no tier32/UDM"
UAE-3D,C2-C3-read-only,"frozen step3008; 24 C2 plus 6 C3 IID-validation; model state unchanged","atom/bond/connected/PG-compatible/joint 0/30; mean RMSD 2.033 A; collision-free 8/30",UAE_C23_READONLY_WEAK_RECONSTRUCTION_EVIDENCE_KEEP_BRANCH_CLOSED,"tier4 C2/C3 success was same-panel memorization; do not reopen UAE"
Recommended,graph-PG-to-3D-G0,"2532 strict samples; immutable sparse graph; four PG condition batch; operations/permutations/orbits audited","no coordinate model has passed G1/G2 yet",PASS_GRAPH_PG_3D_INTERFACE_G0,"freeze and implement coordinate-only 1/4/32 G1"
Recommended,graph-PG-to-3D-G1,"32/32 RMSD and bond-MAE improved; 32/32 collision-free; max symmetry error 3.45e-7 A","mean RMSD 0.16477 A above 0.15; frozen analyzer compatible 31/32",FAIL_GRAPH_PG_3D_G1_HARD_PROJECTION,"reuse projection as G2 constraint; implement learned graph coordinate denoiser"
Recommended,graph-PG-to-3D-G2-sparse,"8/8 raw/projected RMSD improved; 8/8 collision-free and compatible; engineering checks pass","step2048 raw/projected mean RMSD 0.19252/0.12663 A above 0.08/0.05",FAIL_GRAPH_PG_3D_G2_TIER1_CONTINUATION_STOP_ARCHITECTURE,"replace four-layer sparse-only receptive field; do not train it longer"
